"CustomerId","Name","CreditScore","Geography","Gender","Age","Tenure","Balance","NumOfProducts","HasCrCard","IsActiveMember","EstimatedSalary","Exited"
"C15634602","Amit Das","619","France","Female","42","2","0.0","1","1","1","101348.88","1"
"C15647311","Shiva Das","608","Spain","Female","41","1","83807.86","1","0","1","112542.58","0"
"C15619304","Kavita Menon","502","France","Female","42","8","159660.8","3","1","0","113931.57","1"
"C15701354","Anurag Patel","699","France","Female","39","1","0.0","2","0","0","93826.63","0"
"C15737888","Anurag Reddy","850","Spain","Female","43","2","125510.82","1","1","1","79084.1","0"
"C15574012","Rahul Thakur","645","Spain","Male","44","8","113755.78","2","1","0","149756.71","1"
"C15592531","Anurag Iyer","822","France","Male","50","7","0.0","2","1","1","10062.8","0"
"C15656148","Meena Mehta","376","Germany","Female","29","4","115046.74","4","1","0","119346.88","1"
"C15792365","Ramesh Patel","501","France","Male","44","4","142051.07","2","0","1","74940.5","0"
"C15592389","Priya Patel","684","France","Male","27","2","134603.88","1","1","1","71725.73","0"
"C15767821","Rohit Menon","528","France","Male","31","6","102016.72","2","0","0","80181.12","0"
"C15737173","Sanjay Mishra","497","Spain","Male","24","3","0.0","2","1","0","76390.01","0"
"C15632264","Deepak Chopra","476","France","Female","34","10","0.0","2","1","0","26260.98","0"
"C15691483","Amit Kumar","549","France","Female","25","5","0.0","2","0","0","190857.79","0"
"C15600882","Vikram Rao","635","Spain","Female","35","7","0.0","2","1","1","65951.65","0"
"C15643966","Deepak Das","616","Germany","Male","45","3","143129.41","2","0","1","64327.26","0"
"C15737452","Priya Mehta","653","Germany","Male","58","1","132602.88","1","1","0","5097.67","1"
"C15788218","Nitin Sharma","549","Spain","Female","24","9","0.0","2","1","1","14406.41","0"
"C15661507","Deepak Chopra","587","Spain","Male","45","6","0.0","1","0","0","158684.81","0"
"C15568982","Shiva Joshi","726","France","Female","24","6","0.0","2","1","1","54724.03","0"
"C15577657","Rahul Pandey","732","France","Male","41","8","0.0","2","1","1","170886.17","0"
"C15597945","Deepak Pandey","636","Spain","Female","32","8","0.0","2","1","0","138555.46","0"
"C15699309","Amit Nair","510","Spain","Female","38","4","0.0","1","1","0","118913.53","1"
"C15725737","Anjali Das","669","France","Male","46","3","0.0","2","0","1","8487.75","0"
"C15625047","Anjali Menon","846","France","Female","38","5","0.0","1","1","1","187616.16","0"
"C15738191","Kavita Bajpai","577","France","Male","25","3","0.0","2","0","1","124508.29","0"
"C15736816","Rahul Patel","756","Germany","Male","36","2","136815.64","1","1","1","170041.95","0"
"C15700772","Pooja Menon","571","France","Male","44","9","0.0","2","0","0","38433.35","0"
"C15728693","Sunita Das","574","Germany","Female","43","3","141349.43","1","1","1","100187.43","0"
"C15656300","Anurag Reddy","411","France","Male","29","0","59697.17","2","1","1","53483.21","0"
"C15589475","Maharaj Chopra","591","Spain","Female","39","3","0.0","3","1","0","140469.38","1"
"C15706552","Priya Mishra","533","France","Male","36","7","85311.7","1","0","1","156731.91","0"
"C15750181","Kavita Iyer","553","Germany","Male","41","9","110112.54","2","0","0","81898.81","0"
"C15659428","Rohit Verma","520","Spain","Female","42","6","0.0","2","1","1","34410.55","0"
"C15732963","Amit Singh","722","Spain","Female","29","9","0.0","2","1","1","142033.07","0"
"C15794171","Shiva Nair","475","France","Female","45","0","134264.04","1","1","0","27822.99","1"
"C15788448","Deepak Sharma","490","Spain","Male","31","3","145260.23","1","0","1","114066.77","0"
"C15729599","Ramesh Patel","804","Spain","Male","33","7","76548.6","1","0","1","98453.45","0"
"C15717426","Pooja Iyer","850","France","Male","36","7","0.0","1","1","1","40812.9","0"
"C15585768","Amit Verma","582","Germany","Male","41","6","70349.48","2","0","1","178074.04","0"
"C15619360","Meena Patel","472","Spain","Male","40","4","0.0","1","1","0","70154.22","0"
"C15738148","Anjali Kumar","465","France","Female","51","8","122522.32","1","0","0","181297.65","1"
"C15687946","Anurag Rao","556","France","Female","61","2","117419.35","1","1","1","94153.83","0"
"C15755196","Harish Chopra","834","France","Female","49","2","131394.56","1","0","0","194365.76","1"
"C15684171","Nitin Reddy","660","Spain","Female","61","5","155931.11","1","1","1","158338.39","0"
"C15754849","Pooja Nair","776","Germany","Female","32","4","109421.13","2","1","1","126517.46","0"
"C15602280","Rahul Joshi","829","Germany","Female","27","9","112045.67","1","1","1","119708.21","1"
"C15771573","Anjali Das","637","Germany","Female","39","9","137843.8","1","1","1","117622.8","1"
"C15766205","Shiva Bose","550","Germany","Male","38","2","103391.38","1","0","1","90878.13","0"
"C15771873","Sunita Patel","776","Germany","Female","37","2","103769.22","2","1","0","194099.12","0"
"C15616550","Anjali Gupta","698","Germany","Male","44","10","116363.37","2","1","0","198059.16","0"
"C15768193","Rohit Bose","585","Germany","Male","36","5","146050.97","2","0","0","86424.57","0"
"C15683553","Anjali Mehta","788","France","Female","33","5","0.0","2","0","0","116978.19","0"
"C15702298","Deepak Chopra","655","Germany","Male","41","8","125561.97","1","0","0","164040.94","1"
"C15569590","Maharaj Nair","601","Germany","Male","42","1","98495.72","1","1","0","40014.76","1"
"C15760861","Priya Singh","619","France","Male","43","1","125211.92","1","1","1","113410.49","0"
"C15630053","Anurag Thakur","656","France","Male","45","5","127864.4","1","1","0","87107.57","0"
"C15647091","Deepak Thakur","725","Germany","Male","19","0","75888.2","1","0","0","45613.75","0"
"C15623944","Shiva Mishra","511","Spain","Female","66","4","0.0","1","1","0","1643.11","1"
"C15804771","Harish Das","614","France","Male","51","4","40685.92","1","1","1","46775.28","0"
"C15651280","Amit Iyer","742","Germany","Male","35","5","136857.0","1","0","0","84509.57","0"
"C15773469","Neha Patel","687","Germany","Female","27","9","152328.88","2","0","0","126494.82","0"
"C15702014","Kavita Joshi","555","Spain","Male","33","1","56084.69","2","0","0","178798.13","0"
"C15751208","Anjali Patel","684","Spain","Male","56","8","78707.16","1","1","1","99398.36","0"
"C15592461","Sanjay Menon","603","Germany","Male","26","4","109166.37","1","1","1","92840.67","0"
"C15789484","Anjali Reddy","751","Germany","Female","36","6","169831.46","2","1","1","27758.36","0"
"C15696061","Amit Mishra","581","Germany","Female","34","1","101633.04","1","1","0","110431.51","0"
"C15641582","Sunita Joshi","735","Germany","Male","43","10","123180.01","2","1","1","196673.28","0"
"C15638424","Anurag Verma","661","Germany","Female","35","5","150725.53","2","0","1","113656.85","0"
"C15755648","Shiva Rao","675","France","Female","21","8","98373.26","1","1","0","18203.0","0"
"C15703793","Rahul Pandey","738","Germany","Male","58","2","133745.44","4","1","0","28373.86","1"
"C15620344","Priya Bose","813","France","Male","29","6","0.0","1","1","0","33953.87","0"
"C15812518","Sanjay Rao","657","Spain","Female","37","0","163607.18","1","0","1","44203.55","0"
"C15779052","Vikram Mishra","604","Germany","Female","25","5","157780.84","2","1","1","58426.81","0"
"C15770811","Amit Kumar","519","France","Male","36","9","0.0","2","0","1","145562.4","0"
"C15780961","Ramesh Rao","735","France","Female","21","1","178718.19","2","1","0","22388.0","0"
"C15614049","Ramesh Iyer","664","France","Male","55","8","0.0","2","1","1","139161.64","0"
"C15662085","Maharaj Iyer","678","France","Female","32","9","0.0","1","1","1","148210.64","0"
"C15575185","Sunita Bajpai","757","Spain","Male","33","5","77253.22","1","0","1","194239.63","0"
"C15803136","Nitin Bose","416","Germany","Female","41","10","122189.66","2","1","0","98301.61","0"
"C15706021","Vikram Gupta","665","France","Female","34","1","96645.54","2","0","0","171413.66","0"
"C15663706","Anjali Menon","777","France","Female","32","2","0.0","1","1","0","136458.19","1"
"C15641732","Anurag Bajpai","543","France","Female","36","3","0.0","2","0","0","26019.59","0"
"C15701164","Kavita Reddy","506","France","Female","34","4","90307.62","1","1","1","159235.29","0"
"C15738751","Ramesh Iyer","493","France","Female","46","4","0.0","2","1","0","1907.66","0"
"C15805254","Anurag Thakur","652","Spain","Female","75","10","0.0","2","1","1","114675.75","0"
"C15762418","Rahul Pandey","750","Spain","Male","22","3","121681.82","1","1","0","128643.35","1"
"C15625759","Vikram Das","729","France","Male","30","9","0.0","2","1","0","151869.35","0"
"C15622897","Deepak Joshi","646","France","Female","46","4","0.0","3","1","0","93251.42","1"
"C15767954","Suresh Iyer","635","Germany","Female","28","3","81623.67","2","1","1","156791.36","0"
"C15757535","Nitin Singh","647","Spain","Female","44","5","0.0","3","1","1","174205.22","1"
"C15731511","Anjali Reddy","808","France","Male","45","7","118626.55","2","1","0","147132.46","0"
"C15809248","Pooja Singh","524","France","Female","36","10","0.0","2","1","0","109614.57","0"
"C15640635","Pooja Bose","769","France","Male","29","8","0.0","2","1","1","172290.61","0"
"C15676966","Meena Patel","730","Spain","Male","42","4","0.0","2","0","1","85982.47","0"
"C15699461","Rahul Gupta","515","Spain","Male","35","10","176273.95","1","0","1","121277.78","0"
"C15738721","Deepak Mishra","773","Spain","Male","41","9","102827.44","1","0","1","64595.25","0"
"C15693683","Maharaj Pandey","814","Germany","Male","29","8","97086.4","2","1","1","197276.13","0"
"C15604348","Sanjay Chopra","710","Spain","Male","22","8","0.0","2","0","0","99645.04","0"
"C15633059","Vikram Mehta","413","France","Male","34","9","0.0","2","0","0","6534.18","0"
"C15808582","Harish Reddy","665","France","Female","40","6","0.0","1","1","1","161848.03","0"
"C15743192","Amit Mehta","623","France","Female","44","6","0.0","2","0","0","167162.43","0"
"C15580146","Deepak Rao","738","France","Male","31","9","82674.15","1","1","0","41970.72","0"
"C15776605","Rahul Das","528","Spain","Male","36","7","0.0","2","1","0","60536.56","0"
"C15804919","Meena Thakur","670","Spain","Female","65","1","0.0","1","1","1","177655.68","1"
"C15613854","Deepak Das","622","Spain","Female","46","4","107073.27","2","1","1","30984.59","1"
"C15599195","Anjali Chopra","582","Germany","Male","32","1","88938.62","1","1","1","10054.53","0"
"C15812878","Rohit Bose","785","Germany","Female","36","2","99806.85","1","0","1","36976.52","0"
"C15602312","Kavita Gupta","605","Spain","Male","33","5","150092.8","1","0","0","71862.79","0"
"C15744689","Anurag Mishra","479","Germany","Male","35","9","92833.89","1","1","0","99449.86","1"
"C15803526","Kavita Menon","685","Germany","Male","30","3","90536.81","1","0","1","63082.88","0"
"C15665790","Rohit Reddy","538","Germany","Male","39","7","108055.1","2","1","0","27231.26","0"
"C15715951","Sanjay Mishra","562","France","Male","42","2","100238.35","1","0","0","86797.41","0"
"C15591100","Maharaj Reddy","675","Spain","Male","36","9","106190.55","1","0","1","22994.32","0"
"C15609618","Sunita Patel","721","Germany","Male","28","9","154475.54","2","0","1","101300.94","1"
